submission_pk,User,Rank,BERTScore P,BERTScore R,BERTScore F1,DialogRPT updown,DialogRPT human vs rand,DialogRPT human vs machine,DialogRPT final (avg),DialogRPT final (best)
421071,justinray-v,1.00 (1),0.64 (4),0.74 (3),0.69 (1),0.42 (1),0.96 (2),1.00 (1),0.40 (1),0.76 (2),
420443,amino,3.00 (2),0.60 (6),0.78 (2),0.68 (3),0.39 (2),0.90 (8),0.99 (3),0.35 (3),0.76 (3),
425099,ThHuber,4.00 (3),0.65 (2),0.69 (6),0.67 (4),0.38 (3),0.93 (5),0.98 (8),0.34 (4),0.68 (9),
421472,adaezeio,4.00 (3),0.58 (9),0.78 (1),0.67 (6),0.37 (5),0.98 (1),0.99 (4),0.35 (2),0.71 (6),
420254,rbnjade1,5.00 (4),0.64 (5),0.74 (4),0.69 (2),0.37 (6),0.84 (10),0.99 (5),0.31 (8),0.70 (7),
419635,ignacio.sastre,5.00 (4),0.66 (1),0.68 (7),0.67 (5),0.37 (7),0.95 (3),0.98 (6),0.33 (5),0.72 (5),
412444,pykt-team,7.00 (5),0.59 (7),0.71 (5),0.65 (8),0.36 (8),0.91 (7),0.99 (2),0.33 (6),0.72 (4),
419820,alexis.baladon,8.00 (6),0.65 (3),0.65 (8),0.65 (7),0.35 (10),0.92 (6),0.98 (7),0.30 (9),0.68 (8),
421437,a2un,8.00 (6),0.58 (8),0.63 (9),0.61 (9),0.38 (4),0.93 (4),0.95 (10),0.33 (7),0.81 (1),
409872,tanaygahlot,10.00 (7),0.00 (10),0.00 (10),0.00 (10),0.35 (9),0.88 (9),0.97 (9),0.30 (10),0.60 (10),
